,0,1,2,3,4
357,3,9,27,81,
358,3,9,27,81,
359,3,9,27,81,
360,3,15,75,375,
361,6,72,864,10368,
362,4,16,64,256,
363,6,54,486,4374,
364,4,28,220,1820,
365,3,9,27,81,
366,4,24,144,864,
367,3,9,27,81,
368,6,36,216,1296,
369,3,39,567,8271,
370,5,66,968,14920,
371,34,2828,240100,20516888,
372,9,168,3138,58614,
373,2,4,8,16,
374,3,14,83,619,
375,14,464,18868,937172,
376,3,9,27,81,
377,15,545,19915,728269,
378,5,71,1161,20125,
379,7,182,5898,198628,
380,6,80,1202,19304,
381,21,1168,76648,5727962,
382,2,10,52,276,
383,6,36,216,1296,
384,2,4,8,16,
385,3,18,108,648,
386,2,8,32,128,
387,3,27,243,2187,
388,6,36,216,1296,
389,6,36,216,1296,
390,3,10,34,116,
391,15,264,4662,82332,
392,2,4,8,16,
393,17,530,17182,560696,
394,3,17,101,659,
395,1,26,1285,71165,
396,4,72,1296,23328,
397,3,15,75,375,
398,7,49,343,2401,
399,2,4,8,16,
400,3,27,261,2619,
401,18,684,25992,987696,
402,4,16,64,256,
403,10,150,2250,33750,
404,2,8,32,128,
405,3,21,171,1413,
406,2,4,8,16,
407,2,4,8,16,
408,21,841,34779,1452651,
409,3,12,48,192,
410,2,4,8,16,
411,49,4626,449312,43981336,
412,4,16,64,256,
413,3,10,37,149,
414,3,34,418,5272,
415,10,104,1092,11500,
416,4,20,100,500,
417,6,50,454,4194,
418,1,1,1,1,
419,2,6,20,70,
420,3,18,108,648,
421,9,81,729,6561,
422,1,1,1,1,
423,2,4,8,16,
424,7,91,1173,15217,
425,4,24,144,864,
426,15,431,14367,509643,
427,2,9,43,206,
428,1,2,4,8,
429,8,122,1858,28364,
430,6,42,294,2058,
431,5,25,125,625,
432,4,20,100,500,
433,6,78,1014,13182,
434,8,96,1152,13824,
435,4,20,100,500,
436,1,3,9,27,
437,1,1,1,1,
438,7,90,1200,16200,
439,1,1,1,1,
440,3,9,27,81,
441,13,325,8125,203125,
442,12,192,3072,49152,
443,4,24,144,864,
444,15,247,4079,67367,
445,1,1,1,1,
446,4,32,256,2048,
447,1,1,1,1,
448,3,13,71,469,
449,2,4,8,16,
450,6,60,603,6075,
451,1,2,4,8,
452,3,12,48,192,
453,6,54,486,4374,
454,1,1,1,1,
455,10,238,6156,165888,
456,1,1,1,1,
457,3,15,82,453,
458,17,583,20568,731563,
459,2,4,8,16,
460,13,377,10933,317057,
461,9,129,1881,27441,
462,12,284,9256,400736,
463,2,11,74,548,
464,14,548,23226,1013830,
465,3,18,108,648,
466,3,9,27,81,
467,1,1,1,1,
468,6,85,1245,18642,
469,11,198,3564,64152,
470,5,30,180,1080,
471,9,141,2322,38412,
472,4,44,620,9596,
473,18,472,12794,351776,
474,12,184,2816,43088,
475,12,258,5754,129894,
476,4,16,64,256,
477,7,79,919,10839,
478,1,1,1,1,
479,3,9,27,81,
480,9,228,5746,144734,
481,22,1397,101963,7625008,
482,9,105,1230,14415,
483,76,23865,9744444,4467798571,
484,2,18,162,1458,
485,6,36,216,1296,
486,4,23,136,812,
487,1,1,1,1,
488,4,37,425,5432,
489,2,6,18,54,
490,24,1011,46998,2342493,
491,5,63,1000,18725,
492,17,294,5103,88646,
493,22,1711,146866,12677204,
494,4,20,100,500,
495,10,170,3210,61930,
496,2,6,18,54,
497,4,110,3772,130622,
498,18,918,57978,3871998,
499,6,46,374,3114,
500,4,24,144,864,
501,1,1,1,1,
502,2,6,18,54,
503,15,427,12726,384053,
504,4,20,100,500,
505,10,220,4840,106480,
506,4,28,196,1372,
507,2,4,8,16,
508,9,111,1503,21033,
509,4,16,64,256,
510,11,280,7178,184336,
511,31,1271,52421,2162281,
512,4,16,64,256,
513,8,74,734,7538,
514,2,4,8,16,
515,11,121,1331,14641,
516,2,8,36,168,
517,5,50,500,5000,
518,28,2053,173590,15542666,
519,3,9,27,81,
520,2,4,8,16,
521,9,81,729,6561,
522,4,32,256,2048,
523,6,71,846,10081,
524,27,1248,62812,3325552,
525,1,2,4,8,
526,2,4,8,16,
527,4,34,332,3424,
528,2,4,8,16,
529,4,28,196,1372,
530,5,30,180,1080,
531,8,106,1420,19268,
532,5,45,405,3645,
533,18,780,34392,1517616,
534,3,23,248,3048,
535,2,6,18,54,
536,7,56,460,3860,
537,3,15,84,490,
538,14,444,14990,515840,
539,16,482,18262,778550,
540,18,441,10980,273573,
541,1,3,9,27,
542,6,71,846,10081,
543,2,4,8,16,
544,7,91,1237,17235,
545,4,16,64,256,
546,2,6,18,54,
547,27,1999,229290,30962021,
548,6,36,216,1296,
549,2,6,18,54,
550,6,42,294,2058,
551,6,66,720,7854,
552,2,6,18,54,
553,3,18,108,648,
554,8,128,2048,32768,
555,2,4,8,16,
556,6,60,600,6000,
557,1,2,4,8,
558,4,40,396,3920,
559,7,89,1151,15017,
560,2,4,8,16,
561,13,397,13501,483105,
562,40,3706,364879,37548094,
563,17,531,18651,691880,
564,7,77,847,9317,
565,3,14,70,367,
566,4,39,466,6002,
567,2,6,18,54,
568,7,96,1427,21839,
569,4,32,244,1856,
570,3,21,147,1029,
571,2,4,8,16,
572,1,2,4,8,
573,4,29,208,1490,
574,3,9,27,81,
575,10,194,4231,97198,
576,15,556,22124,886720,
577,2,7,28,130,
578,6,48,384,3072,
579,5,37,284,2206,
580,1,1,1,1,
581,5,25,125,625,
582,4,36,324,2916,
583,36,1364,52696,2068488,
584,17,1428,145197,15453153,
585,2,4,8,16,
586,3,17,107,681,
587,4,40,448,5280,
588,5,25,125,625,
589,1,1,1,1,
590,4,16,64,256,
591,1,1,1,1,
592,6,96,1660,30024,
593,3,9,27,81,
594,6,126,2646,55566,
595,2,6,18,54,
596,13,286,6643,154921,
597,1,1,1,1,
598,12,294,7512,192456,
599,56,8008,1307504,225792840,
600,3,9,27,81,
601,11,298,9259,304739,
602,1,1,1,1,
603,2,4,8,16,
604,3,9,27,81,
605,15,495,18564,735471,
606,4,31,259,2176,
607,1,1,1,1,
608,28,2078,202240,22694470,
609,5,35,245,1715,
610,4,20,104,548,
611,9,274,9417,339573,
612,4,40,484,6016,
613,2,6,18,54,
614,6,65,758,9089,
615,1,2,4,8,
616,2,6,18,54,
617,2,4,8,16,
618,1,3,9,27,
619,5,89,1597,28657,
620,2,6,18,54,
621,15,225,3375,50625,
622,15,678,34224,1756740,
623,2,4,8,16,
624,13,391,12349,393799,
625,4,32,256,2048,
626,10,140,1960,27440,
627,7,53,423,3485,
628,6,65,743,8617,
629,1,3,9,27,
630,7,77,847,9317,
631,4,24,144,864,
632,13,256,5252,109280,
633,3,30,300,3000,
634,10,216,4688,101776,
635,1,1,1,1,
636,6,75,954,12249,
637,11,162,2396,35440,
638,6,71,947,13313,
639,1,2,4,8,
640,4,32,256,2048,
641,4,24,144,864,
642,2,4,8,16,
643,2,6,18,54,
644,4,16,64,256,
645,15,552,22355,961920,
646,12,450,18120,743220,
647,2,4,8,16,
648,2,6,18,54,
649,20,861,40382,1941260,
650,3,36,477,6462,
651,1,3,9,27,
652,1,1,1,1,
653,1,1,1,1,
654,6,36,216,1296,
655,7,70,700,7000,
656,6,44,334,2608,
657,2,6,18,54,
658,4,16,64,256,
659,8,114,2852,104746,
660,6,54,486,4374,
661,3,12,48,192,
662,2,4,8,16,
663,1,1,1,1,
664,3,9,27,81,
665,4,20,100,500,
666,2,4,8,16,
667,3,9,27,81,
668,3,9,27,81,
669,2,12,72,432,
670,3,9,27,81,
671,1,7,60,563,
672,11,181,3155,56185,
673,4,50,770,12988,
674,7,77,847,9317,
675,9,157,2951,56402,
676,3,9,27,81,
677,1,1,1,1,
678,2,4,8,16,
679,3,9,27,81,
680,2,4,8,16,
681,10,333,11606,411181,
682,6,72,1170,21258,
683,3,39,507,6591,
684,27,1587,95007,5694807,
685,8,96,1152,13824,
686,3,9,27,81,
687,14,421,13646,463263,
688,8,104,1520,23392,
689,4,43,595,8653,
690,1,1,1,1,
691,37,3417,365945,41768686,
692,1,1,1,1,
693,13,237,4369,80825,
694,8,120,1800,27000,
695,2,4,8,16,
696,1,2,4,8,
697,8,80,800,8000,
698,22,1560,124916,10500238,
699,3,18,108,648,
700,7,87,1087,13607,
701,4,24,144,864,
702,4,40,400,4000,
703,7,92,1204,15752,
704,2,4,8,16,
705,12,240,4800,96000,
706,5,30,180,1080,
707,6,66,726,7986,
708,1,1,1,1,
709,1,1,1,1,
710,1,1,1,1,
711,3,12,48,192,
712,3,24,192,1536,
713,3,15,75,375,
714,13,440,16240,620032,
715,4,36,348,3400,
716,10,205,4459,98452,
717,10,253,6707,180186,
718,16,397,9877,245734,
719,1,1,1,1,
720,7,77,847,9317,
721,3,15,75,375,
722,3,9,27,81,
723,1,2,5,14,
724,3,12,48,192,
725,11,121,1331,14641,
726,1,1,1,1,
727,2,4,8,16,
728,5,40,350,3100,
729,14,466,16202,564166,
730,1,1,1,1,
731,2,8,32,128,
732,1,2,4,8,
733,2,7,30,143,
734,1,1,1,1,
735,3,15,81,453,
736,26,1560,98416,6280352,
737,2,4,8,16,
738,10,220,5610,155540,
739,4,32,256,2048,
740,2,4,8,16,
741,3,9,27,81,
742,3,9,27,81,
743,7,97,1375,19861,
744,4,23,140,873,
745,3,11,41,153,
746,4,23,141,872,
747,7,77,847,9317,
748,7,143,3445,88131,
749,1,2,4,8,
750,4,24,144,864,
751,3,22,186,1620,
752,16,494,17533,637693,
753,2,8,32,128,
754,1,2,4,8,
755,12,144,1728,20736,
756,2,4,8,16,
757,2,12,76,500,
758,3,12,48,192,
759,21,822,32702,1316556,
760,3,9,27,81,
761,1,7,49,343,
762,5,51,561,6300,
763,21,1164,69170,4190075,
764,14,456,19042,994620,
765,11,563,34024,2226218,
766,11,247,5705,132865,
767,2,6,22,86,
768,1,1,1,1,
769,7,81,963,11598,
770,18,457,12464,347884,
771,2,4,8,16,
772,18,432,10368,248832,
773,3,14,66,312,
774,2,4,8,16,
775,4,16,64,256,
776,1,2,4,8,
777,10,218,5370,138866,
778,15,398,13016,469996,
779,3,19,125,829,
780,2,4,8,16,
781,2,8,32,128,
782,4,34,320,3146,
783,2,4,8,16,
784,46,3292,251102,19574501,
785,5,35,245,1715,
786,9,81,729,6561,
787,9,93,1033,11989,
788,5,35,245,1715,
789,2,6,18,54,
790,2,4,8,16,
791,2,6,18,54,
792,6,47,458,5025,
793,12,246,5154,111234,
794,1,1,1,1,
795,6,60,600,6000,
796,2,8,32,128,
797,24,1284,78455,5113982,
798,6,60,600,6000,
799,5,41,347,2979,
800,11,258,6344,156992,
801,13,361,10594,318595,
802,3,12,48,192,
803,5,85,1415,23485,
804,3,9,27,81,
805,1,1,1,1,
806,10,100,1000,10000,
807,3,9,27,81,
808,8,164,3376,69628,
809,3,12,48,192,
810,4,22,193,2740,
811,8,128,2048,32768,
812,4,20,100,500,
813,12,274,6352,148180,
814,4,16,64,256,
815,13,367,10843,324901,
816,6,70,915,12593,
817,2,4,8,16,
818,4,16,64,256,
819,6,65,790,10275,
820,1,1,1,1,
821,4,22,136,886,
822,2,6,18,54,
823,2,6,18,54,
824,4,40,400,4000,
825,1,1,1,1,
826,3,75,2244,68646,
827,2,4,8,16,
828,8,72,648,5832,
829,18,774,33282,1431126,
830,6,72,864,10368,
831,2,8,32,128,
832,2,6,18,54,
833,1,2,4,8,
834,2,6,18,54,
835,4,48,576,6912,
836,3,9,27,81,
837,2,4,8,16,
838,6,58,566,5530,
839,6,53,554,6361,
840,3,19,125,831,
841,4,23,140,873,
842,25,2194,212308,21505768,
843,25,2420,273022,33768471,
844,2,12,72,432,
845,4,16,64,256,
846,15,465,16035,574725,
847,6,36,216,1296,
848,3,12,48,192,
849,4,32,344,5216,
850,1,1,1,1,
851,2,30,656,16266,
852,3,9,27,81,
853,6,60,630,6720,
854,6,36,216,1296,
855,9,85,813,7801,
856,1,2,4,8,
857,4,31,241,1876,
858,1,3,9,27,
859,18,878,45328,2360340,
860,12,168,2352,32928,
861,6,53,471,4186,
862,2,6,18,54,
863,6,83,1425,26419,
864,1,1,1,1,
865,6,72,864,10368,
866,4,28,196,1372,
867,1,1,1,1,
868,6,46,374,3166,
869,3,9,27,81,
870,2,4,8,16,
871,34,2213,148707,10071875,
872,2,7,26,97,
873,5,25,125,625,
874,2,6,18,54,
875,23,753,25262,849839,
876,3,9,27,81,
877,2,10,50,250,
878,16,529,17690,593529,
879,2,8,46,296,
880,18,631,23869,926292,
881,12,300,7500,187500,
882,2,6,18,54,
883,4,52,892,18268,
884,3,9,27,81,
885,2,4,8,16,
886,6,60,600,6000,
887,2,4,8,16,
888,3,9,27,81,
889,7,56,448,3584,
890,5,39,348,3294,
891,2,6,18,54,
892,9,99,1089,11979,
893,6,66,726,7986,
894,3,27,243,2187,
895,11,266,6622,166018,
896,4,16,64,256,
897,10,364,15798,729300,
898,6,36,216,1296,
899,4,28,212,1616,
900,3,15,75,375,
901,10,250,6250,156250,
902,4,27,194,1451,
903,4,28,196,1372,
904,11,261,6141,144051,
905,1,3,13,75,
906,1,1,1,1,
907,4,16,64,256,
908,11,231,4851,101871,
909,6,46,392,3565,
910,7,129,2671,58401,
911,5,39,307,2417,
912,12,296,7476,190832,
913,1,2,4,8,
914,1,2,4,8,
915,5,25,125,625,
916,7,55,433,3409,
917,2,8,32,128,
918,2,4,8,16,
919,2,6,18,54,
920,2,8,32,128,
921,3,23,191,1659,
922,4,20,100,500,
923,6,102,2310,58494,
924,7,65,635,6305,
925,182,52332,15138648,4382305200,
926,4,16,64,256,
927,10,112,1255,14062,
928,48,3648,277248,21070848,
929,4,34,316,2956,
930,16,292,5364,98740,
931,3,14,78,460,
932,4,35,370,4130,
933,2,10,50,250,
934,1,2,4,8,
935,28,2511,246584,25004220,
936,5,30,180,1080,
937,15,481,15559,503513,
938,4,25,166,1123,
939,2,7,26,97,
940,6,84,1176,16464,
941,9,213,5073,120687,
942,9,189,4099,91287,
943,7,69,689,6899,
944,4,16,64,256,
945,22,1089,61399,3676139,
946,1,1,1,1,
947,4,16,64,256,
948,2,10,50,250,
949,80,22106,6622589,2040031451,
950,2,4,8,16,
951,4,16,64,256,
952,10,110,1210,13310,
953,6,36,216,1296,
954,2,6,18,54,
955,3,12,48,192,
956,4,16,64,256,
957,3,18,108,648,
958,2,4,8,16,
959,2,6,22,86,
960,3,9,27,81,
961,4,32,256,2048,
962,16,553,19189,665935,
963,10,122,1634,23234,
964,8,209,5477,143576,
965,7,105,1757,30023,
966,12,258,5754,130686,
967,2,4,8,16,
968,2,6,18,54,
969,3,15,75,375,
970,3,19,123,804,
971,37,2930,263452,25035100,
972,2,8,32,128,
973,1,1,1,1,
974,4,16,64,256,
975,53,6856,943866,132064649,
976,12,146,1784,21828,
977,15,434,13685,454608,
978,22,1154,64432,3631850,
979,1,2,4,8,
980,7,92,1206,15800,
981,2,4,8,16,
982,9,87,849,8295,
983,125,35388,12062954,4643072738,
984,5,35,245,1715,
985,1,7,56,523,
986,23,529,12167,279841,
987,4,17,73,314,
988,13,382,12966,456421,
989,1,1,1,1,
990,10,160,2560,40960,
991,7,49,343,2401,
992,2,6,18,54,
993,2,8,32,128,
994,6,76,952,11920,
995,3,22,168,1292,
996,13,220,3728,63288,
997,2,8,32,128,
998,1,1,1,1,
999,3,15,94,659,
